Block,ImageID,1,2,3,4,5,8,9,11,13,14,16,17,18,19,21,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,43,44,45,46,47,48,49,51,52,53,54,55,57,58,59,60,61,62
Common,28,2,5,1,2,1,3,1,2,3,3,5,1,3,3,2,2,3,2,2,2,2,1,4,3,4,3,2,2,3,2,2,1,3,2,3,1,1,2,3,3,3,3,3,2,2,3,2,4,4,3
Common,38,4,2,2,3,1,3,1,2,3,2,3,2,3,3,1,2,2,2,2,2,1,1,2,2,3,3,4,2,4,4,3,3,2,2,4,1,1,3,4,2,2,3,2,2,1,2,2,2,3,3
Common,50,4,5,1,4,4,4,2,1,4,5,4,3,5,5,2,5,3,3,3,5,3,3,4,4,3,3,5,2,2,5,2,3,4,4,3,2,3,2,4,4,2,4,4,3,4,4,3,5,4,4
Common,61,1,2,4,1,2,2,1,1,1,2,4,1,1,2,1,3,1,3,2,2,1,,3,1,3,1,3,2,3,2,4,2,5,1,1,1,2,2,4,2,1,2,2,1,2,2,2,3,5,4
Common,80,2,5,4,1,3,2,3,3,3,3,3,2,3,4,2,4,3,3,2,3,2,,3,2,3,4,4,2,3,4,1,3,1,4,3,1,1,1,1,1,1,3,5,2,3,2,3,4,2,2
Common,82,1,3,1,1,1,3,2,1,2,2,2,1,2,2,1,,1,2,1,1,1,,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,3,1,1,2,1,3,2,1
Common,96,2,5,5,4,5,3,3,4,3,3,4,3,2,5,4,4,2,2,2,5,3,3,3,2,4,3,3,4,3,3,4,3,4,4,3,2,2,4,2,1,1,3,5,3,5,1,3,4,2,3
Common,98,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1
Common,104,1,1,2,1,4,3,2,2,3,3,2,3,2,3,2,3,2,2,2,5,2,1,3,2,3,2,2,2,2,5,2,,1,4,3,1,1,1,4,1,2,3,4,2,2,3,4,4,2,3
Common,109,2,2,1,1,3,,1,3,1,,4,,3,4,2,,1,,1,5,,,3,4,2,3,2,1,2,2,2,,1,,,1,2,3,2,1,1,3,2,4,1,,4,,1,
Common,127,5,1,1,4,5,4,3,4,3,5,5,5,3,5,2,4,2,4,3,5,3,2,5,2,2,2,3,4,4,5,3,3,5,4,4,4,2,5,5,3,4,3,3,4,5,3,4,5,2,1
Common,135,1,2,1,4,3,3,2,2,3,3,3,2,3,5,2,4,2,2,2,3,3,,3,2,2,1,4,3,3,3,1,3,1,3,4,1,1,1,5,2,1,2,3,3,2,3,4,4,3,2
Common,161,2,2,1,2,1,3,2,2,2,2,3,1,2,2,1,2,3,1,1,1,1,1,3,1,3,1,2,2,2,2,2,1,2,2,2,1,1,2,3,1,2,2,2,2,1,2,2,2,2,2
Common,165,1,3,1,2,1,2,1,4,2,3,3,1,2,2,2,3,2,3,3,5,2,2,2,2,3,2,2,3,2,2,3,2,1,3,2,2,2,2,4,2,1,2,3,3,2,2,2,3,2,3
Common,170,,,1,,1,,1,1,,,1,,,,1,1,,,1,,,,,1,,,,1,,,,,1,,1,1,,1,2,1,1,1,,1,1,,,,1,
Common,187,1,2,1,,1,3,,1,1,2,2,1,1,2,1,,1,1,1,1,1,1,1,1,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,,2,,1,1
Common,193,1,2,1,2,1,2,,1,3,3,3,1,2,1,2,2,2,2,1,2,2,1,3,2,2,2,3,2,2,3,2,1,1,2,3,1,1,2,2,2,1,3,5,2,1,3,2,2,3,1
Common,201,2,5,1,1,1,3,2,3,3,3,3,4,3,3,2,4,3,2,2,3,3,2,3,4,3,2,4,3,3,3,2,2,2,3,3,1,1,1,4,3,1,3,3,2,2,3,2,4,3,2
Common,216,1,4,1,3,3,2,5,1,3,3,4,3,1,3,2,2,2,5,2,2,2,2,3,3,2,1,2,5,2,3,4,2,2,2,3,2,1,4,5,2,4,2,2,2,2,2,3,2,5,5
