,ratings,predictions,ink
0,[0.7838488221168518],[0.427734375],[4568.3291015625]
1,[0.5271086692810059],[0.443115234375],[6748.07080078125]
2,[0.6614860892295837],[0.59326171875],[6705.552734375]
3,[0.5747326612472534],[0.56591796875],[4551.2587890625]
4,[0.48521098494529724],[0.457763671875],[5210.1533203125]
5,[0.3614475429058075],[0.45361328125],[7051.3876953125]
6,[0.4534730911254883],[0.4794921875],[7022.92919921875]
7,[0.18604223430156708],[0.261474609375],[3625.36474609375]
8,[0.3849387466907501],[0.371337890625],[4114.953125]
9,[0.22968704998493195],[0.266845703125],[3225.952880859375]
10,[0.1949208676815033],[0.38623046875],[5717.529296875]
11,[0.0],[0.3486328125],[5172.517578125]
12,[0.17245222628116608],[0.281005859375],[4973.6943359375]
13,[0.23877699673175812],[0.355712890625],[4999.62353515625]
14,[0.2744991183280945],[0.465576171875],[8659.552734375]
15,[0.5638113617897034],[0.513671875],[7517.6826171875]
16,[0.3270200788974762],[0.334716796875],[5013.1884765625]
17,[0.18833614885807037],[0.323974609375],[6845.15283203125]
18,[0.3592357039451599],[0.48828125],[6953.1298828125]
19,[0.48521098494529724],[0.5263671875],[8599.447265625]
20,[0.34654274582862854],[0.397216796875],[7309.92919921875]
21,[0.49714741110801697],[0.5986328125],[9061.15234375]
22,[0.48530417680740356],[0.576171875],[7455.2822265625]
23,[0.7176351547241211],[0.69384765625],[12206.505859375]
24,[0.18833614885807037],[0.377685546875],[8469.08203125]
25,[0.8387907147407532],[0.57958984375],[11668.658203125]
26,[0.7042399644851685],[0.66162109375],[11278.56640625]
27,[0.5910171270370483],[0.50830078125],[9308.2236328125]
28,[0.42195218801498413],[0.44677734375],[13194.400390625]
29,[0.42288151383399963],[0.4765625],[8674.458984375]
30,[0.33449944853782654],[0.474609375],[8875.05859375]
31,[0.4338349997997284],[0.52197265625],[9171.1650390625]
32,[0.2971400022506714],[0.52880859375],[29481.58984375]
33,[0.5670415759086609],[0.51123046875],[8985.587890625]
34,[0.36617520451545715],[0.54541015625],[7911.9296875]
35,[0.6906875967979431],[0.548828125],[7584.458984375]
36,[0.5221434235572815],[0.337646484375],[4611.541015625]
37,[0.6325820684432983],[0.61279296875],[10539.22265625]
38,[0.2588873505592346],[0.488037109375],[10722.765625]
39,[0.5332861542701721],[0.50634765625],[9263.2119140625]
40,[0.42643284797668457],[0.490966796875],[7801.32958984375]
41,[0.3401504158973694],[0.6533203125],[12735.458984375]
42,[0.20279547572135925],[0.3056640625],[3311.88232421875]
43,[0.2453332394361496],[0.4853515625],[7168.529296875]
44,[0.32205772399902344],[0.33935546875],[3729.41162109375]
45,[0.2815549075603485],[0.4951171875],[7657.470703125]
46,[0.47379037737846375],[0.51611328125],[6915.7646484375]
47,[0.47085872292518616],[0.45751953125],[7638.400390625]
48,[0.23877699673175812],[0.39892578125],[7212.953125]
49,[0.5136512517929077],[0.477294921875],[7308.1884765625]
50,[0.8738146424293518],[0.5908203125],[10110.77734375]
51,[0.46687212586402893],[0.4814453125],[7269.3173828125]
52,[0.6933756470680237],[0.5234375],[9635.0]
53,[0.6140331625938416],[0.5029296875],[12246.376953125]
54,[0.48558706045150757],[0.35693359375],[7877.505859375]
55,[0.5030298829078674],[0.53271484375],[7472.2001953125]
56,[0.18310996890068054],[0.261962890625],[8814.435546875]
57,[0.22041583061218262],[0.51904296875],[11468.0]
58,[0.34093475341796875],[0.486083984375],[7985.78759765625]
59,[0.07153326272964478],[0.321044921875],[5923.96435546875]
60,[0.27159813046455383],[0.430419921875],[7107.45849609375]
61,[0.2994687259197235],[0.4375],[6777.37646484375]
62,[0.5266830325126648],[0.3896484375],[6807.8115234375]
63,[0.6113658547401428],[0.2359619140625],[5593.435546875]
64,[0.23373273015022278],[0.262939453125],[4467.41162109375]
65,[0.18833614885807037],[0.3232421875],[8477.17578125]
66,[0.20337505638599396],[0.2646484375],[4970.541015625]
67,[0.5597516894340515],[0.457763671875],[6438.98779296875]
68,[0.564117431640625],[0.49462890625],[11154.658203125]
69,[0.3080343008041382],[0.5126953125],[13902.0234375]
70,[0.637718677520752],[0.64306640625],[8851.517578125]
71,[0.4125787019729614],[0.53466796875],[9210.7412109375]
72,[0.2978754937648773],[0.59716796875],[15964.4345703125]
73,[0.3015243411064148],[0.50390625],[8064.01171875]
74,[0.2592846155166626],[0.431884765625],[4895.91796875]
75,[0.40819165110588074],[0.591796875],[6460.7763671875]
76,[0.407703697681427],[0.43505859375],[5755.83544921875]
77,[0.5035158395767212],[0.5791015625],[9474.2001953125]
78,[0.6099635362625122],[0.6015625],[15268.84765625]
79,[0.07153326272964478],[0.350830078125],[8875.6123046875]
80,[0.20337505638599396],[0.363037109375],[4919.0]
81,[0.19115959107875824],[0.30126953125],[4382.7177734375]
82,[0.39228555560112],[0.4814453125],[7348.84716796875]
83,[0.6953124403953552],[0.47705078125],[6925.87060546875]
84,[0.23877699673175812],[0.40576171875],[6272.09375]
85,[0.5800898671150208],[0.471923828125],[7551.7294921875]
86,[0.48521098494529724],[0.560546875],[14709.6708984375]
87,[0.17245222628116608],[0.42578125],[7198.36474609375]
88,[0.3778895437717438],[0.499755859375],[7694.31787109375]
89,[0.48521098494529724],[0.4921875],[8228.7177734375]
90,[0.5737714171409607],[0.475341796875],[7149.470703125]
91,[0.533359706401825],[0.5107421875],[6995.6826171875]
92,[0.7571771740913391],[0.57470703125],[7923.12939453125]
93,[0.07153326272964478],[0.322265625],[5874.3173828125]
94,[0.35474175214767456],[0.37744140625],[4511.03515625]
95,[0.48521098494529724],[0.4755859375],[5720.78857421875]
96,[0.5753198862075806],[0.53759765625],[6200.41162109375]
97,[0.4273501932621002],[0.56201171875],[15246.15234375]
98,[0.47124364972114563],[0.583984375],[14850.1640625]
99,[0.3206312954425812],[0.5537109375],[13677.1298828125]
100,[0.07153326272964478],[0.302978515625],[5316.84716796875]
101,[0.2942277193069458],[0.3544921875],[7149.412109375]
102,[0.2740831673145294],[0.40283203125],[10576.6474609375]
103,[0.3778895437717438],[0.59521484375],[11312.458984375]
104,[0.5721340179443359],[0.438232421875],[4854.67041015625]
105,[0.35777518153190613],[0.3876953125],[10069.7177734375]
106,[0.484912633895874],[0.372314453125],[4581.82373046875]
107,[0.12537090480327606],[0.34326171875],[6858.83544921875]
