ratings,fname,predictions,ink,phase
0.6587718457724737,2016_19,0.6826171875,4224.929,train
0.5701626151105742,5442_13,0.56689453125,10741.822,train
0.6287449145748433,1711_4,0.62841796875,9815.953,train
0.3902377065285497,8404_4,0.387939453125,7434.918,train
0.34162866083779775,2852_15,0.355712890625,3141.9531,train
0.7563319598425113,2018_3,0.7939453125,20991.81,train
0.6062500743930195,91_11,0.65380859375,12741.541,train
0.242776162330804,10193_17,0.2587890625,3301.553,train
0.47750239949365414,8739_8,0.47119140625,5244.0474,train
0.3745876128647957,10234_8,0.357421875,5886.788,train
0.7458456877888735,973_19,0.72509765625,11105.918,train
0.39793723441903595,4494_3,0.394775390625,7095.9062,train
0.7345812491808992,3226_4,0.73876953125,24247.895,train
0.662814737628302,1668_19,0.67333984375,6877.118,train
0.7725286390614566,968_4,0.78173828125,11850.0,train
0.5569844398562506,7289_13,0.5849609375,10751.271,train
0.30562839001612263,1456_13,0.301025390625,4441.5767,train
0.5898120047509268,8658_9,0.5869140625,7384.541,train
0.364608304795791,5030_7,0.3408203125,9915.918,train
0.5999060776310268,4703_13,0.58349609375,17054.848,train
0.29774761362679303,3800_15,0.316162109375,2660.4824,train
0.5534853940545094,7031_17,0.53662109375,8447.541,train
0.6229844202392035,761_8,0.654296875,6374.2114,train
0.45019702588025085,1001_11,0.4501953125,5254.5293,train
0.6030432838917138,2506_3,0.62060546875,10927.823,train
0.4359611652856413,7301_13,0.416259765625,9298.118,train
0.5507643995983281,3770_19,0.587890625,9893.446,train
0.7347277588227797,3039_56,0.7197265625,6184.424,train
0.43043355154554674,86_56,0.419677734375,5091.8115,train
0.5437783810252975,1299_15,0.564453125,7983.671,train
0.3858467607302421,3954_7,0.390380859375,10411.6,train
0.26480628514964777,5140_12,0.260986328125,2968.1648,train
0.29774761362679303,8435_15,0.293701171875,4972.788,train
0.7541255452932627,2909_3,0.7705078125,7500.1885,train
0.354610641172347,10283_13,0.35498046875,4948.106,train
0.6388654547616887,944_11,0.64208984375,13255.224,train
0.6908260860760205,5611_56,0.689453125,11674.2,train
0.4283892960163086,4382_56,0.432373046875,7621.918,train
0.8501733462692783,2381_4,0.8525390625,8188.5176,train
0.49316589109143505,4471_4,0.4951171875,7085.5527,train
0.5967430436648434,8503_13,0.6005859375,10790.388,train
0.684570352714318,3790_15,0.6611328125,12461.836,train
